geneName,module,mgi_symbol,gene_biotype,module.char,mod.color
ENSMUSG00000053310,7,Nrgn,protein_coding,07,black
ENSMUSG00000053317,2,Sec61b,protein_coding,02,blue
ENSMUSG00000053318,9,Slamf8,protein_coding,09,magenta
ENSMUSG00000053338,9,Tarm1,protein_coding,09,magenta
ENSMUSG00000053398,6,Phgdh,protein_coding,06,red
ENSMUSG00000053411,3,Cbx7,protein_coding,03,brown
ENSMUSG00000053436,15,Mapk14,protein_coding,15,midnightblue
ENSMUSG00000053453,12,Thoc7,protein_coding,12,tan
ENSMUSG00000053477,8,Tcf4,protein_coding,08,pink
ENSMUSG00000053510,15,Nrd1,protein_coding,15,midnightblue
ENSMUSG00000053560,3,Ier2,protein_coding,03,brown
ENSMUSG00000053565,2,Eif3k,protein_coding,02,blue
ENSMUSG00000053574,23,4930563E22Rik,protein_coding,23,darkturquoise
ENSMUSG00000053580,11,Tanc2,protein_coding,11,greenyellow
ENSMUSG00000053581,12,Zfand2a,protein_coding,12,tan
ENSMUSG00000053641,1,Dennd4a,protein_coding,01,turquoise
ENSMUSG00000053693,21,Mast1,protein_coding,21,darkred
ENSMUSG00000053730,5,Tmem39b,protein_coding,05,green
ENSMUSG00000053754,1,Chd8,protein_coding,01,turquoise
ENSMUSG00000053820,22,Bcl2a1c,protein_coding,22,darkgreen
ENSMUSG00000053898,6,Ech1,protein_coding,06,red
ENSMUSG00000053931,9,Cnn3,protein_coding,09,magenta
ENSMUSG00000053963,10,Stum,protein_coding,10,purple
ENSMUSG00000053964,10,Lgals4,protein_coding,10,purple
ENSMUSG00000053977,3,Cd8a,protein_coding,03,brown
ENSMUSG00000054000,6,Tusc1,protein_coding,06,red
ENSMUSG00000054008,1,Ndst1,protein_coding,01,turquoise
ENSMUSG00000054046,24,Klk13,protein_coding,24,darkgrey
ENSMUSG00000054065,3,Pkp3,protein_coding,03,brown
ENSMUSG00000054079,4,Utp18,protein_coding,04,yellow
ENSMUSG00000054199,1,Gon4l,protein_coding,01,turquoise
ENSMUSG00000054203,9,Ifi205,protein_coding,09,magenta
ENSMUSG00000054226,5,Tprkb,protein_coding,05,green
ENSMUSG00000054312,10,Mrps21,protein_coding,10,purple
ENSMUSG00000054342,9,Kcnn4,protein_coding,09,magenta
ENSMUSG00000054364,22,Rhob,protein_coding,22,darkgreen
ENSMUSG00000054387,1,Mdm4,protein_coding,01,turquoise
ENSMUSG00000054400,2,Cklf,protein_coding,02,blue
ENSMUSG00000054404,9,Slfn5,protein_coding,09,magenta
ENSMUSG00000054422,12,Fabp1,protein_coding,12,tan
ENSMUSG00000054435,3,Gimap4,protein_coding,03,brown
ENSMUSG00000054499,7,Dedd2,protein_coding,07,black
ENSMUSG00000054519,12,Zfp867,protein_coding,12,tan
ENSMUSG00000054580,15,Pla2r1,protein_coding,15,midnightblue
ENSMUSG00000054611,1,Kdm2a,protein_coding,01,turquoise
