Description,Count,GeneRatio,BgRatio,p.adjust,ENTREZIDs,SYMBOLs,ENSEMBLIDs,category,subcategory
BRIDEAU_IMPRINTED_GENES,2,2/590,62/17483,0.7880223357634345,16004/67092,Igf2r/Gatm,ENSMUSG00000023830/ENSMUSG00000027199,C2,CGP
CUI_GLUCOSE_DEPRIVATION,2,2/590,62/17483,0.7880223357634345,27053/14583,Asns/Gfpt1,ENSMUSG00000029752/ENSMUSG00000029992,C2,CGP
DAVICIONI_RHABDOMYOSARCOMA_PAX_FOXO1_FUSION_UP,2,2/590,62/17483,0.7880223357634345,67092/12527,Gatm/Cd9,ENSMUSG00000027199/ENSMUSG00000030342,C2,CGP
KORKOLA_YOLK_SAC_TUMOR,2,2/590,62/17483,0.7880223357634345,30963/13039,Hacd1/Ctsl,ENSMUSG00000063275/ENSMUSG00000021477,C2,CGP
MASSARWEH_RESPONSE_TO_ESTRADIOL,2,2/590,62/17483,0.7880223357634345,243362/23802,Stard13/Amfr,ENSMUSG00000016128/ENSMUSG00000031751,C2,CGP
SANSOM_WNT_PATHWAY_REQUIRE_MYC,2,2/590,62/17483,0.7880223357634345,17387/12028,Mmp14/Bax,ENSMUSG00000000957/ENSMUSG00000003873,C2,CGP
BOYAULT_LIVER_CANCER_SUBCLASS_G3_UP,6,6/590,190/17483,0.7880223357634345,210992/381280/107686/26961/22166/16561,Lpcat1/Hjurp/Snrpd2/Rpl8/Txn1/Kif1b,ENSMUSG00000021608/ENSMUSG00000044783/ENSMUSG00000040824/ENSMUSG00000003970/ENSMUSG00000028367/ENSMUSG00000063077,C2,CGP
BASAKI_YBX1_TARGETS_DN,12,12/590,377/17483,0.7880223357634345,20568/66222/12709/100434/23886/20510/69550/193796/66847/15040/215690/19212,Slpi/Serpinb1a/Ckb/Slc44a1/Gdf15/Slc1a1/Bst2/Kdm4b/Hint3/H2-T23/Nav1/Pter,ENSMUSG00000017002/ENSMUSG00000044734/ENSMUSG00000001270/ENSMUSG00000028412/ENSMUSG00000038508/ENSMUSG00000024935/ENSMUSG00000046718/ENSMUSG00000024201/ENSMUSG00000019791/ENSMUSG00000067212/ENSMUSG00000009418/ENSMUSG00000026730,C2,CGP
CROONQUIST_IL6_DEPRIVATION_DN,3,3/590,95/17483,0.7891624557687423,319190/17215/216161,Hist2h2be/Mcm3/Sbno2,ENSMUSG00000068854/ENSMUSG00000041859/ENSMUSG00000035673,C2,CGP
KIM_MYCN_AMPLIFICATION_TARGETS_UP,3,3/590,95/17483,0.7891624557687423,100038909/100434/18726,Gm14548/Slc44a1/Lilra6,ENSMUSG00000074417/ENSMUSG00000028412/ENSMUSG00000030427,C2,CGP
NELSON_RESPONSE_TO_ANDROGEN_UP,3,3/590,95/17483,0.7891624557687423,17132/12010/12874,Maf/B2m/Cpd,ENSMUSG00000055435/ENSMUSG00000060802/ENSMUSG00000020841,C2,CGP
SMID_BREAST_CANCER_RELAPSE_IN_BONE_UP,3,3/590,95/17483,0.7891624557687423,170835/12925/20510,Inpp5j/Crip1/Slc1a1,ENSMUSG00000034570/ENSMUSG00000006360/ENSMUSG00000024935,C2,CGP
GARGALOVIC_RESPONSE_TO_OXIDIZED_PHOSPHOLIPIDS_BLUE_UP,4,4/590,127/17483,0.7891624557687423,19883/64209/237782/16561,Rora/Herpud1/Smcr8/Kif1b,ENSMUSG00000032238/ENSMUSG00000031770/ENSMUSG00000049323/ENSMUSG00000063077,C2,CGP
SENGUPTA_NASOPHARYNGEAL_CARCINOMA_WITH_LMP1_UP,12,12/590,378/17483,0.7893990032963772,67092/11658/73246/70789/23886/68215/53890/16168/268373/15519/66085/56386,Gatm/Alcam/Rassf6/Kynu/Gdf15/Fam98b/Sart3/Il15/Ppia/Hsp90aa1/Eif3f/B4galt6,ENSMUSG00000027199/ENSMUSG00000022636/ENSMUSG00000029370/ENSMUSG00000026866/ENSMUSG00000038508/ENSMUSG00000027349/ENSMUSG00000018974/ENSMUSG00000031712/ENSMUSG00000071866/ENSMUSG00000021270/ENSMUSG00000031029/ENSMUSG00000056124,C2,CGP
AIYAR_COBRA1_TARGETS_DN,1,1/590,29/17483,0.790479088809156,12874,Cpd,ENSMUSG00000020841,C2,CGP
HOFFMANN_PRE_BI_TO_LARGE_PRE_BII_LYMPHOCYTE_UP,1,1/590,29/17483,0.790479088809156,19262,Ptpra,ENSMUSG00000027303,C2,CGP
LI_WILMS_TUMOR_VS_FETAL_KIDNEY_2_UP,1,1/590,29/17483,0.790479088809156,16000,Igf1,ENSMUSG00000020053,C2,CGP
LY_AGING_PREMATURE_DN,1,1/590,29/17483,0.790479088809156,15331,Hmgn2,ENSMUSG00000003038,C2,CGP
MOSERLE_IFNA_RESPONSE,1,1/590,29/17483,0.790479088809156,20846,Stat1,ENSMUSG00000026104,C2,CGP
NOJIMA_SFRP2_TARGETS_UP,1,1/590,29/17483,0.790479088809156,228775,Trib3,ENSMUSG00000032715,C2,CGP
NUNODA_RESPONSE_TO_DASATINIB_IMATINIB_UP,1,1/590,29/17483,0.790479088809156,20848,Stat3,ENSMUSG00000004040,C2,CGP
PAL_PRMT5_TARGETS_DN,1,1/590,29/17483,0.790479088809156,12709,Ckb,ENSMUSG00000001270,C2,CGP
WESTON_VEGFA_TARGETS_12HR,1,1/590,29/17483,0.790479088809156,24108,Ubd,ENSMUSG00000035186,C2,CGP
CADWELL_ATG16L1_TARGETS_DN,2,2/590,63/17483,0.790479088809156,71069/76509,Stox2/Plet1,ENSMUSG00000038143/ENSMUSG00000032068,C2,CGP
GOTTWEIN_TARGETS_OF_KSHV_MIR_K12_11,2,2/590,63/17483,0.790479088809156,66082/21888,Abhd6/Tle4,ENSMUSG00000025277/ENSMUSG00000024642,C2,CGP
MIKKELSEN_NPC_LCP_WITH_H3K4ME3,2,2/590,63/17483,0.790479088809156,20725/11717,Serpinb8/Ampd3,ENSMUSG00000026315/ENSMUSG00000005686,C2,CGP
WILCOX_RESPONSE_TO_PROGESTERONE_DN,2,2/590,63/17483,0.790479088809156,21825/14268,Thbs1/Fn1,ENSMUSG00000040152/ENSMUSG00000026193,C2,CGP
MIKKELSEN_MEF_LCP_WITH_H3K4ME3,4,4/590,128/17483,0.790479088809156,20725/69710/14199/11717,Serpinb8/Arap1/Fhl1/Ampd3,ENSMUSG00000026315/ENSMUSG00000032812/ENSMUSG00000023092/ENSMUSG00000005686,C2,CGP
MACAEVA_PBMC_RESPONSE_TO_IR,3,3/590,96/17483,0.7912348684998634,20020/56030/12028,Polr2a/Tmem131/Bax,ENSMUSG00000005198/ENSMUSG00000026116/ENSMUSG00000003873,C2,CGP
CHNG_MULTIPLE_MYELOMA_HYPERPLOID_DN,1,1/590,30/17483,0.7951936900098229,12847,Copa,ENSMUSG00000026553,C2,CGP
DASU_IL6_SIGNALING_SCAR_UP,1,1/590,30/17483,0.7951936900098229,17132,Maf,ENSMUSG00000055435,C2,CGP
DORSEY_GAB2_TARGETS,1,1/590,30/17483,0.7951936900098229,21825,Thbs1,ENSMUSG00000040152,C2,CGP
DUTTA_APOPTOSIS_VIA_NFKB,1,1/590,30/17483,0.7951936900098229,12028,Bax,ENSMUSG00000003873,C2,CGP
GAZDA_DIAMOND_BLACKFAN_ANEMIA_MYELOID_UP,1,1/590,30/17483,0.7951936900098229,12028,Bax,ENSMUSG00000003873,C2,CGP
KASLER_HDAC7_TARGETS_2_DN,1,1/590,30/17483,0.7951936900098229,71918,Zcchc24,ENSMUSG00000055538,C2,CGP
PARK_TRETINOIN_RESPONSE_AND_PML_RARA_FUSION,1,1/590,30/17483,0.7951936900098229,20354,Sema4d,ENSMUSG00000021451,C2,CGP
SCIAN_INVERSED_TARGETS_OF_TP53_AND_TP73_DN,1,1/590,30/17483,0.7951936900098229,110253,Triobp,ENSMUSG00000033088,C2,CGP
STEIN_ESRRA_TARGETS_RESPONSIVE_TO_ESTROGEN_UP,1,1/590,30/17483,0.7951936900098229,99138,Stard7,ENSMUSG00000027367,C2,CGP
VALK_AML_CLUSTER_12,1,1/590,30/17483,0.7951936900098229,20910,Stxbp1,ENSMUSG00000026797,C2,CGP
WILLIAMS_ESR1_TARGETS_UP,1,1/590,30/17483,0.7951936900098229,21825,Thbs1,ENSMUSG00000040152,C2,CGP
YAO_TEMPORAL_RESPONSE_TO_PROGESTERONE_CLUSTER_5,1,1/590,30/17483,0.7951936900098229,27361,Msrb1,ENSMUSG00000075705,C2,CGP
ANDERSEN_CHOLANGIOCARCINOMA_CLASS1,2,2/590,64/17483,0.7951936900098229,24108/56524,Ubd/Mpp6,ENSMUSG00000035186/ENSMUSG00000038388,C2,CGP
GOLDRATH_IMMUNE_MEMORY,2,2/590,64/17483,0.7951936900098229,14733/53614,Gpc1/Reck,ENSMUSG00000034220/ENSMUSG00000028476,C2,CGP
TURASHVILI_BREAST_NORMAL_DUCTAL_VS_LOBULAR_UP,2,2/590,64/17483,0.7951936900098229,67092/223650,Gatm/Eppk1,ENSMUSG00000027199/ENSMUSG00000115388,C2,CGP
BROWNE_HCMV_INFECTION_12HR_DN,3,3/590,97/17483,0.7951936900098229,54610/66222/16330,Tbc1d8/Serpinb1a/Inpp5b,ENSMUSG00000003134/ENSMUSG00000044734/ENSMUSG00000028894,C2,CGP
KONG_E2F3_TARGETS,3,3/590,97/17483,0.7951936900098229,381280/404710/17215,Hjurp/Iqgap3/Mcm3,ENSMUSG00000044783/ENSMUSG00000028068/ENSMUSG00000041859,C2,CGP
WINZEN_DEGRADED_VIA_KHSRP,3,3/590,97/17483,0.7951936900098229,23886/16449/13039,Gdf15/Jag1/Ctsl,ENSMUSG00000038508/ENSMUSG00000027276/ENSMUSG00000021477,C2,CGP
IVANOVA_HEMATOPOIESIS_INTERMEDIATE_PROGENITOR,4,4/590,130/17483,0.7951936900098229,66610/319939/52123/66890,Abi3/Tns3/Agpat5/Lman2,ENSMUSG00000018381/ENSMUSG00000020422/ENSMUSG00000031467/ENSMUSG00000021484,C2,CGP
YAMAZAKI_TCEB3_TARGETS_DN,6,6/590,194/17483,0.7951936900098229,17750/16832/12709/11816/13367/15519,Mt2/Ldhb/Ckb/Apoe/Diaph1/Hsp90aa1,ENSMUSG00000031762/ENSMUSG00000030246/ENSMUSG00000001270/ENSMUSG00000002985/ENSMUSG00000024456/ENSMUSG00000021270,C2,CGP
NIKOLSKY_BREAST_CANCER_17Q21_Q25_AMPLICON,10,10/590,321/17483,0.7986281247086353,66610/217304/80280/217119/74370/17938/108903/66431/69802/208501,Abi3/Cd300lb/Cdk5rap3/Xylt2/Rptor/Naca/Tbcd/Oxld1/Cox11/Ndufaf8,ENSMUSG00000018381/ENSMUSG00000063193/ENSMUSG00000018669/ENSMUSG00000020868/ENSMUSG00000025583/ENSMUSG00000061315/ENSMUSG00000039230/ENSMUSG00000039670/ENSMUSG00000020544/ENSMUSG00000078572,C2,CGP
BOYAULT_LIVER_CANCER_SUBCLASS_G6_UP,2,2/590,65/17483,0.7988425562719552,30805/21371,Slc22a4/Tbca,ENSMUSG00000020334/ENSMUSG00000042043,C2,CGP
CHANG_IMMORTALIZED_BY_HPV31_UP,2,2/590,65/17483,0.7988425562719552,11789/79362,Apc/Bhlhe41,ENSMUSG00000005871/ENSMUSG00000030256,C2,CGP
SWEET_KRAS_TARGETS_DN,2,2/590,65/17483,0.7988425562719552,13039/18263,Ctsl/Odc1,ENSMUSG00000021477/ENSMUSG00000011179,C2,CGP
VILLANUEVA_LIVER_CANCER_KRT19_DN,2,2/590,65/17483,0.7988425562719552,20510/20969,Slc1a1/Sdc1,ENSMUSG00000024935/ENSMUSG00000020592,C2,CGP
YAMASHITA_METHYLATED_IN_PROSTATE_CANCER,2,2/590,65/17483,0.7988425562719552,11568/64292,Aebp1/Ptges,ENSMUSG00000020473/ENSMUSG00000050737,C2,CGP
RASHI_RESPONSE_TO_IONIZING_RADIATION_5,4,4/590,131/17483,0.7988425562719552,14457/404710/26407/26409,Gas7/Iqgap3/Map3k4/Map3k7,ENSMUSG00000033066/ENSMUSG00000028068/ENSMUSG00000014426/ENSMUSG00000028284,C2,CGP
ZHOU_INFLAMMATORY_RESPONSE_LIVE_UP,13,13/590,415/17483,0.7988425562719552,20725/72333/14733/11303/17152/16177/11658/20308/236920/12549/16449/213027/16561,Serpinb8/Palld/Gpc1/Abca1/Mak/Il1r1/Alcam/Ccl9/Stard8/Arhgap31/Jag1/Evi5l/Kif1b,ENSMUSG00000026315/ENSMUSG00000058056/ENSMUSG00000034220/ENSMUSG00000015243/ENSMUSG00000021363/ENSMUSG00000026072/ENSMUSG00000022636/ENSMUSG00000019122/ENSMUSG00000031216/ENSMUSG00000022799/ENSMUSG00000027276/ENSMUSG00000011832/ENSMUSG00000063077,C2,CGP
SCHAEFFER_PROSTATE_DEVELOPMENT_48HR_UP,14,14/590,446/17483,0.7988425562719552,17750/121022/98496/246049/17132/16534/110310/66889/76509/233328/64292/74840/17196/17069,Mt2/Mrps6/Pid1/Slc36a2/Maf/Kcnn4/Krt7/Rnf128/Plet1/Lrrk1/Ptges/Manf/Mbp/Ly6e,ENSMUSG00000031762/ENSMUSG00000039680/ENSMUSG00000045658/ENSMUSG00000020264/ENSMUSG00000055435/ENSMUSG00000054342/ENSMUSG00000023039/ENSMUSG00000031438/ENSMUSG00000032068/ENSMUSG00000015133/ENSMUSG00000050737/ENSMUSG00000032575/ENSMUSG00000041607/ENSMUSG00000022587,C2,CGP
BURTON_ADIPOGENESIS_1,1,1/590,31/17483,0.8002277762292165,12608,Cebpb,ENSMUSG00000056501,C2,CGP
CAFFAREL_RESPONSE_TO_THC_DN,1,1/590,31/17483,0.8002277762292165,17215,Mcm3,ENSMUSG00000041859,C2,CGP
DORN_ADENOVIRUS_INFECTION_12HR_UP,1,1/590,31/17483,0.8002277762292165,11911,Atf4,ENSMUSG00000042406,C2,CGP
FIRESTEIN_CTNNB1_PATHWAY,1,1/590,31/17483,0.8002277762292165,229521,Syt11,ENSMUSG00000068923,C2,CGP
GROSS_ELK3_TARGETS_DN,1,1/590,31/17483,0.8002277762292165,20568,Slpi,ENSMUSG00000017002,C2,CGP
KYNG_ENVIRONMENTAL_STRESS_RESPONSE_NOT_BY_GAMMA_IN_WS,1,1/590,31/17483,0.8002277762292165,21371,Tbca,ENSMUSG00000042043,C2,CGP
MIKKELSEN_MCV6_ICP_WITH_H3K4ME3_AND_H3K27ME3,1,1/590,31/17483,0.8002277762292165,268297,Scml4,ENSMUSG00000044770,C2,CGP
MOOTHA_GLUCONEOGENESIS,1,1/590,31/17483,0.8002277762292165,16832,Ldhb,ENSMUSG00000030246,C2,CGP
VANASSE_BCL2_TARGETS_UP,1,1/590,31/17483,0.8002277762292165,20568,Slpi,ENSMUSG00000017002,C2,CGP
DING_LUNG_CANCER_EXPRESSION_BY_COPY_NUMBER,3,3/590,99/17483,0.8002277762292165,320727/21371/74533,Ipo8/Tbca/Gzf1,ENSMUSG00000040029/ENSMUSG00000042043/ENSMUSG00000027439,C2,CGP
KOBAYASHI_EGFR_SIGNALING_24HR_UP,3,3/590,99/17483,0.8002277762292165,320528/100041194/12874,Vps13c/Ahnak2/Cpd,ENSMUSG00000035284/ENSMUSG00000072812/ENSMUSG00000020841,C2,CGP
PICCALUGA_ANGIOIMMUNOBLASTIC_LYMPHOMA_DN,4,4/590,132/17483,0.8002277762292165,319742/22151/108954/225049,Mpzl3/Tubb2a/Ppp1r15b/Ttc7,ENSMUSG00000070305/ENSMUSG00000058672/ENSMUSG00000046062/ENSMUSG00000036918,C2,CGP
CHIANG_LIVER_CANCER_SUBCLASS_CTNNB1_DN,5,5/590,164/17483,0.8002277762292165,20568/12481/66102/12484/11568,Slpi/Cd2/Cxcl16/Cd24a/Aebp1,ENSMUSG00000017002/ENSMUSG00000027863/ENSMUSG00000018920/ENSMUSG00000047139/ENSMUSG00000020473,C2,CGP
STARK_PREFRONTAL_CORTEX_22Q11_DELETION_UP,6,6/590,196/17483,0.8002277762292165,232975/19309/74229/104718/19271/17886,Atp1a3/Pygm/Paqr8/Ttc7b/Ptprj/Myh9,ENSMUSG00000040907/ENSMUSG00000032648/ENSMUSG00000025931/ENSMUSG00000033530/ENSMUSG00000025314/ENSMUSG00000022443,C2,CGP
BRUNO_HEMATOPOIESIS,2,2/590,66/17483,0.8009646873337849,232801/12527,Lilra5/Cd9,ENSMUSG00000070873/ENSMUSG00000030342,C2,CGP
DAVICIONI_TARGETS_OF_PAX_FOXO1_FUSIONS_DN,2,2/590,66/17483,0.8009646873337849,54610/68507,Tbc1d8/Ppfia4,ENSMUSG00000003134/ENSMUSG00000026458,C2,CGP
KUMAR_AUTOPHAGY_NETWORK,2,2/590,66/17483,0.8009646873337849,80885/72621,Hcar2/Pdzd11,ENSMUSG00000045502/ENSMUSG00000015668,C2,CGP
LEE_LIVER_CANCER_MYC_E2F1_DN,2,2/590,66/17483,0.8009646873337849,16000/70789,Igf1/Kynu,ENSMUSG00000020053/ENSMUSG00000026866,C2,CGP
URS_ADIPOCYTE_DIFFERENTIATION_UP,2,2/590,66/17483,0.8009646873337849,76969/102103,Chst1/Mtus1,ENSMUSG00000027221/ENSMUSG00000045636,C2,CGP
HAHTOLA_SEZARY_SYNDROM_UP,3,3/590,100/17483,0.8042900662758429,232801/20846/12925,Lilra5/Stat1/Crip1,ENSMUSG00000070873/ENSMUSG00000026104/ENSMUSG00000006360,C2,CGP
FLECHNER_PBL_KIDNEY_TRANSPLANT_REJECTED_VS_OK_UP,2,2/590,67/17483,0.8087024610315682,22151/12010,Tubb2a/B2m,ENSMUSG00000058672/ENSMUSG00000060802,C2,CGP
LEE_LIVER_CANCER_E2F1_DN,2,2/590,67/17483,0.8087024610315682,16000/70789,Igf1/Kynu,ENSMUSG00000020053/ENSMUSG00000026866,C2,CGP
MIKKELSEN_MEF_LCP_WITH_H3K27ME3,2,2/590,67/17483,0.8087024610315682,28240/278304,Trpm2/Zfp385c,ENSMUSG00000009292/ENSMUSG00000014198,C2,CGP
TURASHVILI_BREAST_DUCTAL_CARCINOMA_VS_LOBULAR_NORMAL_DN,2,2/590,67/17483,0.8087024610315682,54725/19126,Cadm1/Prom1,ENSMUSG00000032076/ENSMUSG00000029086,C2,CGP
BARRIER_CANCER_RELAPSE_NORMAL_SAMPLE_UP,1,1/590,32/17483,0.8089594678557137,16000,Igf1,ENSMUSG00000020053,C2,CGP
GARGALOVIC_RESPONSE_TO_OXIDIZED_PHOSPHOLIPIDS_PINK_DN,1,1/590,32/17483,0.8089594678557137,214968,Sema6d,ENSMUSG00000027200,C2,CGP
HOWLIN_CITED1_TARGETS_1_UP,1,1/590,32/17483,0.8089594678557137,17196,Mbp,ENSMUSG00000041607,C2,CGP
GARCIA_TARGETS_OF_FLI1_AND_DAX1_DN,5,5/590,167/17483,0.810120056037664,17748/16000/71085/66847/17909,Mt1/Igf1/Arhgap19/Hint3/Myo10,ENSMUSG00000031765/ENSMUSG00000020053/ENSMUSG00000025154/ENSMUSG00000019791/ENSMUSG00000022272,C2,CGP
IWANAGA_CARCINOGENESIS_BY_KRAS_UP,5,5/590,167/17483,0.810120056037664,171166/16000/102103/320727/20969,Mcoln3/Igf1/Mtus1/Ipo8/Sdc1,ENSMUSG00000036853/ENSMUSG00000020053/ENSMUSG00000045636/ENSMUSG00000040029/ENSMUSG00000020592,C2,CGP
AFFAR_YY1_TARGETS_DN,8,8/590,264/17483,0.8125963616214982,21810/22151/16177/14744/228775/17215/12925/494504,Tgfbi/Tubb2a/Il1r1/Gpr65/Trib3/Mcm3/Crip1/Apcdd1,ENSMUSG00000035493/ENSMUSG00000058672/ENSMUSG00000026072/ENSMUSG00000021886/ENSMUSG00000032715/ENSMUSG00000041859/ENSMUSG00000006360/ENSMUSG00000071847,C2,CGP
UDAYAKUMAR_MED1_TARGETS_UP,4,4/590,135/17483,0.8139140073974543,27053/20969/14155/19212,Asns/Sdc1/Fem1b/Pter,ENSMUSG00000029752/ENSMUSG00000020592/ENSMUSG00000032244/ENSMUSG00000026730,C2,CGP
BOYLAN_MULTIPLE_MYELOMA_D_CLUSTER_DN,1,1/590,33/17483,0.8141610522546154,105722,Ano6,ENSMUSG00000064210,C2,CGP
FRIDMAN_IMMORTALIZATION_DN,1,1/590,33/17483,0.8141610522546154,57266,Cxcl14,ENSMUSG00000021508,C2,CGP
LI_CISPLATIN_RESISTANCE_DN,1,1/590,33/17483,0.8141610522546154,16449,Jag1,ENSMUSG00000027276,C2,CGP
LI_PROSTATE_CANCER_EPIGENETIC,1,1/590,33/17483,0.8141610522546154,11789,Apc,ENSMUSG00000005871,C2,CGP
LIEN_BREAST_CARCINOMA_METAPLASTIC,1,1/590,33/17483,0.8141610522546154,21825,Thbs1,ENSMUSG00000040152,C2,CGP
MURAKAMI_UV_RESPONSE_6HR_UP,1,1/590,33/17483,0.8141610522546154,12527,Cd9,ENSMUSG00000030342,C2,CGP
SCHAEFFER_PROSTATE_DEVELOPMENT_AND_CANCER_BOX4_DN,1,1/590,33/17483,0.8141610522546154,74840,Manf,ENSMUSG00000032575,C2,CGP
WANG_METASTASIS_OF_BREAST_CANCER_ESR1_DN,1,1/590,33/17483,0.8141610522546154,12334,Capn2,ENSMUSG00000026509,C2,CGP
WANG_RESPONSE_TO_BEXAROTENE_DN,1,1/590,33/17483,0.8141610522546154,66871,Cpne8,ENSMUSG00000052560,C2,CGP
WANG_RESPONSE_TO_FORSKOLIN_UP,1,1/590,33/17483,0.8141610522546154,76267,Fads1,ENSMUSG00000010663,C2,CGP
WEIGEL_OXIDATIVE_STRESS_RESPONSE,1,1/590,33/17483,0.8141610522546154,12028,Bax,ENSMUSG00000003873,C2,CGP
WENDT_COHESIN_TARGETS_UP,1,1/590,33/17483,0.8141610522546154,11658,Alcam,ENSMUSG00000022636,C2,CGP
YOKOE_CANCER_TESTIS_ANTIGENS,1,1/590,33/17483,0.8141610522546154,140630,Ube4a,ENSMUSG00000059890,C2,CGP
OUILLETTE_CLL_13Q14_DELETION_UP,2,2/590,68/17483,0.8141610522546154,72899/193796,Macrod2/Kdm4b,ENSMUSG00000068205/ENSMUSG00000024201,C2,CGP
LEE_EARLY_T_LYMPHOCYTE_UP,3,3/590,102/17483,0.8141610522546154,72333/217944/11568,Palld/Rapgef5/Aebp1,ENSMUSG00000058056/ENSMUSG00000041992/ENSMUSG00000020473,C2,CGP
FOSTER_KDM1A_TARGETS_DN,6,6/590,201/17483,0.8141610522546154,110310/110253/11717/64652/193796/56030,Krt7/Triobp/Ampd3/Nisch/Kdm4b/Tmem131,ENSMUSG00000023039/ENSMUSG00000033088/ENSMUSG00000005686/ENSMUSG00000021910/ENSMUSG00000024201/ENSMUSG00000026116,C2,CGP
MARTINEZ_RESPONSE_TO_TRABECTEDIN_UP,2,2/590,69/17483,0.8167385538766558,57294/67530,Rps27/Uqcrb,ENSMUSG00000090733/ENSMUSG00000021520,C2,CGP
YORDY_RECIPROCAL_REGULATION_BY_ETS1_AND_SP100_DN,2,2/590,69/17483,0.8167385538766558,14255/64292,Flt3/Ptges,ENSMUSG00000042817/ENSMUSG00000050737,C2,CGP
ZHOU_INFLAMMATORY_RESPONSE_LPS_UP,11,11/590,362/17483,0.8167385538766558,217944/13421/16177/20308/104099/100041194/12549/16449/19766/16561/15194,Rapgef5/Dnase1l3/Il1r1/Ccl9/Itga9/Ahnak2/Arhgap31/Jag1/Ripk1/Kif1b/Htt,ENSMUSG00000041992/ENSMUSG00000025279/ENSMUSG00000026072/ENSMUSG00000019122/ENSMUSG00000039115/ENSMUSG00000072812/ENSMUSG00000022799/ENSMUSG00000027276/ENSMUSG00000021408/ENSMUSG00000063077/ENSMUSG00000029104,C2,CGP
GENTILE_UV_RESPONSE_CLUSTER_D6,1,1/590,34/17483,0.8196390587483279,21888,Tle4,ENSMUSG00000024642,C2,CGP
GUTIERREZ_MULTIPLE_MYELOMA_UP,1,1/590,34/17483,0.8196390587483279,22334,Vdac2,ENSMUSG00000021771,C2,CGP
GYORFFY_MITOXANTRONE_RESISTANCE,1,1/590,34/17483,0.8196390587483279,228765,Sdcbp2,ENSMUSG00000027456,C2,CGP
LIU_LIVER_CANCER,1,1/590,34/17483,0.8196390587483279,14199,Fhl1,ENSMUSG00000023092,C2,CGP
MUELLER_COMMON_TARGETS_OF_AML_FUSIONS_DN,1,1/590,34/17483,0.8196390587483279,14904,Gtpbp1,ENSMUSG00000042535,C2,CGP
ONGUSAHA_TP53_TARGETS,1,1/590,34/17483,0.8196390587483279,11810,Apobec1,ENSMUSG00000040613,C2,CGP
PETRETTO_CARDIAC_HYPERTROPHY,1,1/590,34/17483,0.8196390587483279,14268,Fn1,ENSMUSG00000026193,C2,CGP
BILBAN_B_CLL_LPL_UP,2,2/590,70/17483,0.8196390587483279,52123/21871,Agpat5/Atp6v0a2,ENSMUSG00000031467/ENSMUSG00000038023,C2,CGP
CROONQUIST_NRAS_SIGNALING_DN,2,2/590,70/17483,0.8196390587483279,17215/216161,Mcm3/Sbno2,ENSMUSG00000041859/ENSMUSG00000035673,C2,CGP
JI_RESPONSE_TO_FSH_UP,2,2/590,70/17483,0.8196390587483279,76267/19172,Fads1/Psmb4,ENSMUSG00000010663/ENSMUSG00000005779,C2,CGP
SEITZ_NEOPLASTIC_TRANSFORMATION_BY_8P_DELETION_UP,2,2/590,70/17483,0.8196390587483279,20304/12484,Ccl5/Cd24a,ENSMUSG00000035042/ENSMUSG00000047139,C2,CGP
DAZARD_RESPONSE_TO_UV_SCC_UP,3,3/590,104/17483,0.8196390587483279,18173/70789/12010,Slc11a1/Kynu/B2m,ENSMUSG00000026177/ENSMUSG00000026866/ENSMUSG00000060802,C2,CGP
LIEN_BREAST_CARCINOMA_METAPLASTIC_VS_DUCTAL_DN,3,3/590,104/17483,0.8196390587483279,240753/223650/225845,Plekha6/Eppk1/Plaat3,ENSMUSG00000041757/ENSMUSG00000115388/ENSMUSG00000060675,C2,CGP
SERVITJA_ISLET_HNF1A_TARGETS_DN,3,3/590,104/17483,0.8196390587483279,80885/28240/67092,Hcar2/Trpm2/Gatm,ENSMUSG00000045502/ENSMUSG00000009292/ENSMUSG00000027199,C2,CGP
VECCHI_GASTRIC_CANCER_ADVANCED_VS_EARLY_DN,4,4/590,138/17483,0.8196390587483279,20568/64381/66222/12925,Slpi/Ms4a8a/Serpinb1a/Crip1,ENSMUSG00000017002/ENSMUSG00000024730/ENSMUSG00000044734/ENSMUSG00000006360,C2,CGP
BRUINS_UVC_RESPONSE_VIA_TP53_GROUP_D,8,8/590,269/17483,0.8215997287447356,58205/76267/71720/12481/236539/56222/329251/17196,Pdcd1lg2/Fads1/Osbpl3/Cd2/Phgdh/Cited4/Ppp1r12b/Mbp,ENSMUSG00000016498/ENSMUSG00000010663/ENSMUSG00000029822/ENSMUSG00000027863/ENSMUSG00000053398/ENSMUSG00000070803/ENSMUSG00000073557/ENSMUSG00000041607,C2,CGP
FIGUEROA_AML_METHYLATION_CLUSTER_4_UP,3,3/590,105/17483,0.8222952169330859,17750/11568/320727,Mt2/Aebp1/Ipo8,ENSMUSG00000031762/ENSMUSG00000020473/ENSMUSG00000040029,C2,CGP
RICKMAN_TUMOR_DIFFERENTIATED_WELL_VS_MODERATELY_UP,3,3/590,105/17483,0.8222952169330859,67092/329739/14013,Gatm/Fam102b/Mecom,ENSMUSG00000027199/ENSMUSG00000040339/ENSMUSG00000027684,C2,CGP
ROPERO_HDAC2_TARGETS,3,3/590,105/17483,0.8222952169330859,235431/50933/56386,Coro2b/Uchl3/B4galt6,ENSMUSG00000041729/ENSMUSG00000022111/ENSMUSG00000056124,C2,CGP
DOANE_BREAST_CANCER_CLASSES_UP,2,2/590,71/17483,0.8250969865061336,11658/12874,Alcam/Cpd,ENSMUSG00000022636/ENSMUSG00000020841,C2,CGP
