Description,Count,GeneRatio,BgRatio,p.adjust,ENTREZIDs,SYMBOLs,ENSEMBLIDs,category,subcategory
YAO_TEMPORAL_RESPONSE_TO_PROGESTERONE_CLUSTER_10,5,5/590,69/17483,0.3395230264183162,56455/13135/67890/22334/69833,Dynll1/Dad1/Ufm1/Vdac2/Polr2f,ENSMUSG00000009013/ENSMUSG00000022174/ENSMUSG00000027746/ENSMUSG00000021771/ENSMUSG00000033020,C2,CGP
COLINA_TARGETS_OF_4EBP1_AND_4EBP2,17,17/590,349/17483,0.34149462151580473,17750/71720/56524/53614/226791/20304/12268/21825/20846/66889/12010/66253/69550/20193/20641/76933/17069,Mt2/Osbpl3/Mpp6/Reck/Lyplal1/Ccl5/C4b/Thbs1/Stat1/Rnf128/B2m/Aig1/Bst2/S100a1/Snrpd1/Ifi27l2a/Ly6e,ENSMUSG00000031762/ENSMUSG00000029822/ENSMUSG00000038388/ENSMUSG00000028476/ENSMUSG00000039246/ENSMUSG00000035042/ENSMUSG00000073418/ENSMUSG00000040152/ENSMUSG00000026104/ENSMUSG00000031438/ENSMUSG00000060802/ENSMUSG00000019806/ENSMUSG00000046718/ENSMUSG00000044080/ENSMUSG00000002477/ENSMUSG00000079017/ENSMUSG00000022587,C2,CGP
BILANGES_SERUM_SENSITIVE_VIA_TSC2,3,3/590,31/17483,0.34545207540705347,101706/68215/16561,Numa1/Fam98b/Kif1b,ENSMUSG00000066306/ENSMUSG00000027349/ENSMUSG00000063077,C2,CGP
BONOME_OVARIAN_CANCER_POOR_SURVIVAL_UP,3,3/590,31/17483,0.34545207540705347,16847/53614/223753,Lepr/Reck/Cerk,ENSMUSG00000057722/ENSMUSG00000028476/ENSMUSG00000035891,C2,CGP
BOQUEST_STEM_CELL_CULTURED_VS_FRESH_DN,3,3/590,31/17483,0.34545207540705347,16000/11816/57266,Igf1/Apoe/Cxcl14,ENSMUSG00000020053/ENSMUSG00000002985/ENSMUSG00000021508,C2,CGP
MEISSNER_BRAIN_ICP_WITH_H3K4ME3,3,3/590,31/17483,0.34545207540705347,210274/69106/19921,Shank2/Stoml1/Rpl19,ENSMUSG00000037541/ENSMUSG00000032333/ENSMUSG00000017404,C2,CGP
PLASARI_TGFB1_SIGNALING_VIA_NFIC_1HR_UP,3,3/590,31/17483,0.34545207540705347,12774/16534/212898,Ccr5/Kcnn4/Dse,ENSMUSG00000079227/ENSMUSG00000054342/ENSMUSG00000039497,C2,CGP
BROWNE_INTERFERON_RESPONSIVE_GENES,5,5/590,70/17483,0.35078603439215517,15018/20846/16168/69550/15040,H2-Q7/Stat1/Il15/Bst2/H2-T23,ENSMUSG00000060550/ENSMUSG00000026104/ENSMUSG00000031712/ENSMUSG00000046718/ENSMUSG00000067212,C2,CGP
FONTAINE_FOLLICULAR_THYROID_ADENOMA_DN,5,5/590,70/17483,0.35078603439215517,18733/100041146/104718/66154/64292,Pirb/Gm15448/Ttc7b/Tmem14c/Ptges,ENSMUSG00000058818/ENSMUSG00000074419/ENSMUSG00000033530/ENSMUSG00000021361/ENSMUSG00000050737,C2,CGP
SMID_BREAST_CANCER_ERBB2_UP,9,9/590,158/17483,0.35078603439215517,240753/20568/16004/22032/11658/70789/17979/12874/20926,Plekha6/Slpi/Igf2r/Traf4/Alcam/Kynu/Ncoa3/Cpd/Supt6,ENSMUSG00000041757/ENSMUSG00000017002/ENSMUSG00000023830/ENSMUSG00000017386/ENSMUSG00000022636/ENSMUSG00000026866/ENSMUSG00000027678/ENSMUSG00000020841/ENSMUSG00000002052,C2,CGP
