Description,Count,GeneRatio,BgRatio,p.adjust,ENTREZIDs,SYMBOLs,ENSEMBLIDs,category
GSE25123_CTRL_VS_IL4_AND_ROSIGLITAZONE_STIM_PPARG_KO_MACROPHAGE_DN,6,6/590,201/17849,0.7928984903008588,52855/268297/72141/52463/331524/241633,Lair1/Scml4/Adpgk/Tet1/Xkrx/Atp8b4,ENSMUSG00000055541/ENSMUSG00000044770/ENSMUSG00000025236/ENSMUSG00000047146/ENSMUSG00000031258/ENSMUSG00000060131,C7
GSE27434_WT_VS_DNMT1_KO_TREG_DN,6,6/590,201/17849,0.7928984903008588,105522/16190/11911/15519/23807/16452,Ankrd28/Il4ra/Atf4/Hsp90aa1/Arih2/Jak2,ENSMUSG00000014496/ENSMUSG00000030748/ENSMUSG00000042406/ENSMUSG00000021270/ENSMUSG00000064145/ENSMUSG00000024789,C7
GSE2770_UNTREATED_VS_IL4_TREATED_ACT_CD4_TCELL_2H_UP,6,6/590,201/17849,0.7928984903008588,20354/21810/17132/16419/27361/100041194,Sema4d/Tgfbi/Maf/Itgb5/Msrb1/Ahnak2,ENSMUSG00000021451/ENSMUSG00000035493/ENSMUSG00000055435/ENSMUSG00000022817/ENSMUSG00000075705/ENSMUSG00000072812,C7
GSE27786_LSK_VS_ERYTHROBLAST_UP,6,6/590,201/17849,0.7928984903008588,52855/67092/54132/16168/69719/75425,Lair1/Gatm/Pdlim1/Il15/Cad/Tti1,ENSMUSG00000055541/ENSMUSG00000027199/ENSMUSG00000055044/ENSMUSG00000031712/ENSMUSG00000013629/ENSMUSG00000027650,C7
GSE27786_NKCELL_VS_MONO_MAC_DN,6,6/590,201/17849,0.7928984903008588,381280/404710/192176/67338/15531/99100,Hjurp/Iqgap3/Flna/Rffl/Ndst1/Cep152,ENSMUSG00000044783/ENSMUSG00000028068/ENSMUSG00000031328/ENSMUSG00000020696/ENSMUSG00000054008/ENSMUSG00000068394,C7
GSE27859_DC_VS_CD11C_INT_F480_INT_DC_DN,6,6/590,201/17849,0.7928984903008588,227699/105522/100434/268373/76933/69719,Nup188/Ankrd28/Slc44a1/Ppia/Ifi27l2a/Cad,ENSMUSG00000052533/ENSMUSG00000014496/ENSMUSG00000028412/ENSMUSG00000071866/ENSMUSG00000079017/ENSMUSG00000013629,C7
GSE31082_DP_VS_CD4_SP_THYMOCYTE_UP,6,6/590,201/17849,0.7928984903008588,76267/52123/216161/74533/14155/55934,Fads1/Agpat5/Sbno2/Gzf1/Fem1b/Rp9,ENSMUSG00000010663/ENSMUSG00000031467/ENSMUSG00000035673/ENSMUSG00000027439/ENSMUSG00000032244/ENSMUSG00000032239,C7
GSE35543_IN_VITRO_ITREG_VS_CONVERTED_EX_ITREG_DN,6,6/590,201/17849,0.7928984903008588,235431/54219/66871/50770/13001/66079,Coro2b/Cd320/Cpne8/Atp11a/Csnk2b/Tmem42,ENSMUSG00000041729/ENSMUSG00000002308/ENSMUSG00000052560/ENSMUSG00000031441/ENSMUSG00000024387/ENSMUSG00000066233,C7
GSE37301_MULTIPOTENT_PROGENITOR_VS_GRAN_MONO_PROGENITOR_DN,6,6/590,201/17849,0.7928984903008588,11810/20846/54616/50770/20020/19766,Apobec1/Stat1/Extl3/Atp11a/Polr2a/Ripk1,ENSMUSG00000040613/ENSMUSG00000026104/ENSMUSG00000021978/ENSMUSG00000031441/ENSMUSG00000005198/ENSMUSG00000021408,C7
GSE37533_PPARG2_FOXP3_VS_FOXP3_TRANSDUCED_CD4_TCELL_PIOGLITAZONE_TREATED_DN,6,6/590,201/17849,0.7928984903008588,56524/66222/20969/22294/19177/14248,Mpp6/Serpinb1a/Sdc1/Uxt/Psmb7/Flii,ENSMUSG00000038388/ENSMUSG00000044734/ENSMUSG00000020592/ENSMUSG00000001134/ENSMUSG00000026750/ENSMUSG00000002812,C7
GSE39820_TGFBETA1_IL6_VS_TGFBETA1_IL6_IL23A_TREATED_CD4_TCELL_DN,6,6/590,201/17849,0.7928984903008588,232941/544717/67044/19177/17069/268420,Ppm1n/1190007I07Rik/Higd2a/Psmb7/Ly6e/Alkbh5,ENSMUSG00000030402/ENSMUSG00000063320/ENSMUSG00000025868/ENSMUSG00000026750/ENSMUSG00000022587/ENSMUSG00000042650,C7
GSE411_100MIN_VS_400MIN_IL6_STIM_SOCS3_KO_MACROPHAGE_DN,6,6/590,201/17849,0.7928984903008588,102657/15001/67510/545030/19267/59024,Cd276/H2-Oa/Tvp23b/Wdfy4/Ptpre/Med12,ENSMUSG00000035914/ENSMUSG00000024334/ENSMUSG00000014177/ENSMUSG00000051506/ENSMUSG00000041836/ENSMUSG00000079487,C7
GSE43700_UNTREATED_VS_IL10_TREATED_PBMC_DN,6,6/590,201/17849,0.7928984903008588,17750/13819/17748/13367/269252/12568,Mt2/Epas1/Mt1/Diaph1/Gtf3c4/Cdk5,ENSMUSG00000031762/ENSMUSG00000024140/ENSMUSG00000031765/ENSMUSG00000024456/ENSMUSG00000035666/ENSMUSG00000028969,C7
GSE46606_DAY1_VS_DAY3_CD40L_IL2_IL5_STIMULATED_IRF4_KO_BCELL_DN,6,6/590,201/17849,0.7928984903008588,16004/22032/101706/404710/54387/19212,Igf2r/Traf4/Numa1/Iqgap3/Mcm3ap/Pter,ENSMUSG00000023830/ENSMUSG00000017386/ENSMUSG00000066306/ENSMUSG00000028068/ENSMUSG00000001150/ENSMUSG00000026730,C7
GSE46606_UNSTIM_VS_CD40L_IL2_IL5_3DAY_STIMULATED_IRF4MID_SORTED_BCELL_UP,6,6/590,201/17849,0.7928984903008588,360013/216859/105855/23921/235627/100855,Myo18a/Acap1/Nckap1l/Sh2b2/Nbeal2/Tbc1d14,ENSMUSG00000000631/ENSMUSG00000001588/ENSMUSG00000022488/ENSMUSG00000005057/ENSMUSG00000056724/ENSMUSG00000029192,C7
GSE5589_UNSTIM_VS_180MIN_LPS_STIM_MACROPHAGE_UP,6,6/590,201/17849,0.7928984903008588,210992/16409/104718/66890/18782/14470,Lpcat1/Itgam/Ttc7b/Lman2/Pla2g2d/Rabac1,ENSMUSG00000021608/ENSMUSG00000030786/ENSMUSG00000033530/ENSMUSG00000021484/ENSMUSG00000041202/ENSMUSG00000003380,C7
GSE5589_WT_VS_IL6_KO_LPS_AND_IL10_STIM_MACROPHAGE_45MIN_UP,6,6/590,201/17849,0.7928984903008588,13823/381280/79566/227644/53890/68606,Epb41l3/Hjurp/Sh3bp5l/Snapc4/Sart3/Ppm1f,ENSMUSG00000024044/ENSMUSG00000044783/ENSMUSG00000013646/ENSMUSG00000036281/ENSMUSG00000018974/ENSMUSG00000026181,C7
GSE7852_THYMUS_VS_FAT_TREG_UP,6,6/590,201/17849,0.7928984903008588,56322/228775/21871/268373/67890/66521,Timm22/Trib3/Atp6v0a2/Ppia/Ufm1/Rwdd1,ENSMUSG00000020843/ENSMUSG00000032715/ENSMUSG00000038023/ENSMUSG00000071866/ENSMUSG00000027746/ENSMUSG00000019782,C7
GSE10239_KLRG1INT_VS_KLRG1HIGH_EFF_CD8_TCELL_DN,6,6/590,202/17849,0.7928984903008588,15925/12978/13421/545378/241633/338366,Ide/Csf1r/Dnase1l3/Sh2d1b2/Atp8b4/Mia3,ENSMUSG00000056999/ENSMUSG00000024621/ENSMUSG00000025279/ENSMUSG00000073494/ENSMUSG00000060131/ENSMUSG00000056050,C7
GSE13411_SWITCHED_MEMORY_BCELL_VS_PLASMA_CELL_DN,6,6/590,202/17849,0.7928984903008588,75345/12481/235504/17748/17913/68732,Slamf7/Cd2/Slc17a5/Mt1/Myo1c/Carmil1,ENSMUSG00000038179/ENSMUSG00000027863/ENSMUSG00000049624/ENSMUSG00000031765/ENSMUSG00000017774/ENSMUSG00000021338,C7
GSE14415_INDUCED_TREG_VS_TCONV_UP,6,6/590,202/17849,0.7928984903008588,236539/13819/140570/67681/76933/17069,Phgdh/Epas1/Plxnb2/Mrpl18/Ifi27l2a/Ly6e,ENSMUSG00000053398/ENSMUSG00000024140/ENSMUSG00000036606/ENSMUSG00000057388/ENSMUSG00000079017/ENSMUSG00000022587,C7
GSE15735_CTRL_VS_HDAC_INHIBITOR_TREATED_CD4_TCELL_12H_UP,6,6/590,202/17849,0.7928984903008588,268297/22032/239647/23943/218454/100855,Scml4/Traf4/Pced1b/Esyt1/Lhfpl2/Tbc1d14,ENSMUSG00000044770/ENSMUSG00000017386/ENSMUSG00000044250/ENSMUSG00000025366/ENSMUSG00000045312/ENSMUSG00000029192,C7
GSE15930_NAIVE_VS_48H_IN_VITRO_STIM_CD8_TCELL_DN,6,6/590,202/17849,0.7928984903008588,12527/28126/74840/19177/66462/68479,Cd9/Nop16/Manf/Psmb7/Rex1bd/Phf5a,ENSMUSG00000030342/ENSMUSG00000025869/ENSMUSG00000032575/ENSMUSG00000026750/ENSMUSG00000058833/ENSMUSG00000061360,C7
GSE15930_STIM_VS_STIM_AND_IFNAB_72H_CD8_T_CELL_DN,6,6/590,202/17849,0.7928984903008588,16177/70564/16000/73078/19170/69833,Il1r1/Prxl2a/Igf1/Pmpcb/Psmb1/Polr2f,ENSMUSG00000026072/ENSMUSG00000021792/ENSMUSG00000020053/ENSMUSG00000029017/ENSMUSG00000014769/ENSMUSG00000033020,C7
GSE16385_ROSIGLITAZONE_VS_UNTREATED_IFNG_TNF_STIM_MACROPHAGE_DN,6,6/590,202/17849,0.7928984903008588,78323/105855/66211/140630/228136/54519,Fam219b/Nckap1l/Rpl3l/Ube4a/Zdhhc5/Apbb1ip,ENSMUSG00000032305/ENSMUSG00000022488/ENSMUSG00000002500/ENSMUSG00000059890/ENSMUSG00000034075/ENSMUSG00000026786,C7
GSE17721_CTRL_VS_CPG_6H_BMDC_UP,6,6/590,202/17849,0.7928984903008588,21810/19262/140570/217664/108903/104401,Tgfbi/Ptpra/Plxnb2/Mgat2/Tbcd/Pcnx3,ENSMUSG00000035493/ENSMUSG00000027303/ENSMUSG00000036606/ENSMUSG00000043998/ENSMUSG00000039230/ENSMUSG00000054874,C7
GSE17721_PAM3CSK4_VS_CPG_0.5H_BMDC_DN,6,6/590,202/17849,0.7928984903008588,75617/107686/69550/19170/76933/20044,Rps25/Snrpd2/Bst2/Psmb1/Ifi27l2a/Rps14,ENSMUSG00000009927/ENSMUSG00000040824/ENSMUSG00000046718/ENSMUSG00000014769/ENSMUSG00000079017/ENSMUSG00000024608,C7
GSE17721_POLYIC_VS_GARDIQUIMOD_12H_BMDC_UP,6,6/590,202/17849,0.7928984903008588,75345/13421/171166/27226/74748/59024,Slamf7/Dnase1l3/Mcoln3/Pla2g7/Slamf8/Med12,ENSMUSG00000038179/ENSMUSG00000025279/ENSMUSG00000036853/ENSMUSG00000023913/ENSMUSG00000053318/ENSMUSG00000079487,C7
GSE18281_CORTICAL_VS_MEDULLARY_THYMOCYTE_DN,6,6/590,202/17849,0.7928984903008588,227288/19126/14276/11568/19271/18126,Cxcr1/Prom1/Folr2/Aebp1/Ptprj/Nos2,ENSMUSG00000048480/ENSMUSG00000029086/ENSMUSG00000032725/ENSMUSG00000020473/ENSMUSG00000025314/ENSMUSG00000020826,C7
GSE18893_CTRL_VS_TNF_TREATED_TREG_2H_DN,6,6/590,202/17849,0.7928984903008588,98496/69710/66222/17913/17158/17886,Pid1/Arap1/Serpinb1a/Myo1c/Man2a1/Myh9,ENSMUSG00000045658/ENSMUSG00000032812/ENSMUSG00000044734/ENSMUSG00000017774/ENSMUSG00000024085/ENSMUSG00000022443,C7
GSE19512_NAUTRAL_VS_INDUCED_TREG_UP,6,6/590,202/17849,0.7928984903008588,18733/100041146/30805/18186/20970/17966,Pirb/Gm15448/Slc22a4/Nrp1/Sdc3/Nbr1,ENSMUSG00000058818/ENSMUSG00000074419/ENSMUSG00000020334/ENSMUSG00000025810/ENSMUSG00000025743/ENSMUSG00000017119,C7
GSE27786_CD4_TCELL_VS_NEUTROPHIL_UP,6,6/590,202/17849,0.7928984903008588,60504/66610/434204/54132/239985/18263,Il21r/Abi3/Whamm/Pdlim1/Arid1b/Odc1,ENSMUSG00000030745/ENSMUSG00000018381/ENSMUSG00000045795/ENSMUSG00000055044/ENSMUSG00000069729/ENSMUSG00000011179,C7
GSE27786_CD4_VS_CD8_TCELL_UP,6,6/590,202/17849,0.7928984903008588,54384/50770/239985/15531/12549/77853,Mtmr7/Atp11a/Arid1b/Ndst1/Arhgap31/Msl2,ENSMUSG00000039431/ENSMUSG00000031441/ENSMUSG00000069729/ENSMUSG00000054008/ENSMUSG00000022799/ENSMUSG00000066415,C7
GSE27786_ERYTHROBLAST_VS_MONO_MAC_UP,6,6/590,202/17849,0.7928984903008588,235431/217721/192187/17222/193796/16897,Coro2b/Flvcr2/Stab1/Anapc1/Kdm4b/Llgl1,ENSMUSG00000041729/ENSMUSG00000034258/ENSMUSG00000042286/ENSMUSG00000014355/ENSMUSG00000024201/ENSMUSG00000020536,C7
GSE28726_NAIVE_CD4_TCELL_VS_NAIVE_NKTCELL_DN,6,6/590,202/17849,0.7928984903008588,15331/13038/18636/101706/20970/71472,Hmgn2/Ctsk/Cfp/Numa1/Sdc3/Usp19,ENSMUSG00000003038/ENSMUSG00000028111/ENSMUSG00000001128/ENSMUSG00000066306/ENSMUSG00000025743/ENSMUSG00000006676,C7
GSE28783_ANTI_MIR33_VS_CTRL_ATHEROSCLEROSIS_MACROPHAGE_DN,6,6/590,202/17849,0.7928984903008588,15925/20308/12484/99371/18627/68137,Ide/Ccl9/Cd24a/Arfgef2/Per2/Kdelr1,ENSMUSG00000056999/ENSMUSG00000019122/ENSMUSG00000047139/ENSMUSG00000074582/ENSMUSG00000055866/ENSMUSG00000002778,C7
GSE28783_ANTI_MIR33_VS_UNTREATED_ATHEROSCLEROSIS_MACROPHAGE_UP,6,6/590,202/17849,0.7928984903008588,232975/67865/223701/16330/12925/16548,Atp1a3/Rgs10/Mrtfa/Inpp5b/Crip1/Khk,ENSMUSG00000040907/ENSMUSG00000030844/ENSMUSG00000042292/ENSMUSG00000028894/ENSMUSG00000006360/ENSMUSG00000029162,C7
GSE30083_SP2_VS_SP3_THYMOCYTE_DN,6,6/590,202/17849,0.7928984903008588,18186/30794/114601/241633/75687/16548,Nrp1/Pdlim4/Ehbp1l1/Atp8b4/Ripor1/Khk,ENSMUSG00000025810/ENSMUSG00000020388/ENSMUSG00000024937/ENSMUSG00000060131/ENSMUSG00000038604/ENSMUSG00000029162,C7
GSE39110_DAY3_VS_DAY6_POST_IMMUNIZATION_CD8_TCELL_DN,6,6/590,202/17849,0.7928984903008588,58205/13421/11492/17913/71085/234776,Pdcd1lg2/Dnase1l3/Adam19/Myo1c/Arhgap19/Atmin,ENSMUSG00000016498/ENSMUSG00000025279/ENSMUSG00000011256/ENSMUSG00000017774/ENSMUSG00000025154/ENSMUSG00000047388,C7
GSE39110_UNTREATED_VS_IL2_TREATED_CD8_TCELL_DAY3_POST_IMMUNIZATION_DN,6,6/590,202/17849,0.7928984903008588,217944/16162/71085/404710/12874/114601,Rapgef5/Il12rb2/Arhgap19/Iqgap3/Cpd/Ehbp1l1,ENSMUSG00000041992/ENSMUSG00000018341/ENSMUSG00000025154/ENSMUSG00000028068/ENSMUSG00000020841/ENSMUSG00000024937,C7
GSE411_WT_VS_SOCS3_KO_MACROPHAGE_IL6_STIM_100MIN_DN,6,6/590,202/17849,0.7928984903008588,319939/67053/236920/102058/230673/11717,Tns3/Rpp14/Stard8/Exoc8/Ipo13/Ampd3,ENSMUSG00000020422/ENSMUSG00000023156/ENSMUSG00000031216/ENSMUSG00000074030/ENSMUSG00000033365/ENSMUSG00000005686,C7
GSE41176_UNSTIM_VS_ANTI_IGM_STIM_TAK1_KO_BCELL_1H_UP,6,6/590,202/17849,0.7928984903008588,11501/216859/16177/19170/78304/102436,Adam8/Acap1/Il1r1/Psmb1/Naa38/Lars2,ENSMUSG00000025473/ENSMUSG00000001588/ENSMUSG00000026072/ENSMUSG00000014769/ENSMUSG00000059278/ENSMUSG00000035202,C7
GSE43863_TFH_VS_LY6C_LOW_CXCR5NEG_EFFECTOR_CD4_TCELL_UP,6,6/590,202/17849,0.7928984903008588,20304/239027/20846/20947/69550/19303,Ccl5/Arhgap22/Stat1/Swap70/Bst2/Pxn,ENSMUSG00000035042/ENSMUSG00000063506/ENSMUSG00000026104/ENSMUSG00000031015/ENSMUSG00000046718/ENSMUSG00000029528,C7
GSE43957_UNTREATED_VS_NACL_TREATED_ANTI_CD3_CD28_STIM_CD4_TCELL_DN,6,6/590,202/17849,0.7928984903008588,17750/17748/320528/16190/14155/12568,Mt2/Mt1/Vps13c/Il4ra/Fem1b/Cdk5,ENSMUSG00000031762/ENSMUSG00000031765/ENSMUSG00000035284/ENSMUSG00000030748/ENSMUSG00000032244/ENSMUSG00000028969,C7
GSE7400_CTRL_VS_CSF3_IN_VIVO_TREATED_PBMC_UP,6,6/590,202/17849,0.7928984903008588,74229/239647/23943/320528/27176/18263,Paqr8/Pced1b/Esyt1/Vps13c/Rpl7a/Odc1,ENSMUSG00000025931/ENSMUSG00000044250/ENSMUSG00000025366/ENSMUSG00000035284/ENSMUSG00000062647/ENSMUSG00000011179,C7
GSE7460_TREG_VS_TCONV_ACT_WITH_TGFB_UP,6,6/590,202/17849,0.7928984903008588,16004/71729/12874/56455/20947/18782,Igf2r/Rgs12/Cpd/Dynll1/Swap70/Pla2g2d,ENSMUSG00000023830/ENSMUSG00000029101/ENSMUSG00000020841/ENSMUSG00000009013/ENSMUSG00000031015/ENSMUSG00000041202,C7
GSE34217_MIR17_92_OVEREXPRESS_VS_WT_ACT_CD8_TCELL_UP,5,5/590,170/17849,0.7951401035282039,195046/19364/72054/98402/434341,Nlrp1a/Rad51d/Cyp4f18/Sh3bp4/Nlrc5,ENSMUSG00000069830/ENSMUSG00000018841/ENSMUSG00000003484/ENSMUSG00000036206/ENSMUSG00000074151,C7
GSE8685_IL2_ACT_IL2_STARVED_VS_IL21_ACT_IL2_STARVED_CD4_TCELL_DN,5,5/590,170/17849,0.7951401035282039,27389/52463/74315/212898/71913,Dusp13/Tet1/Rnf145/Dse/Tmem79,ENSMUSG00000021768/ENSMUSG00000047146/ENSMUSG00000019189/ENSMUSG00000039497/ENSMUSG00000001420,C7
GSE13229_IMM_VS_INTMATURE_NKCELL_UP,6,6/590,203/17849,0.7951401035282039,58205/11501/171166/16534/20430/17196,Pdcd1lg2/Adam8/Mcoln3/Kcnn4/Cyfip1/Mbp,ENSMUSG00000016498/ENSMUSG00000025473/ENSMUSG00000036853/ENSMUSG00000054342/ENSMUSG00000030447/ENSMUSG00000041607,C7
GSE17721_CTRL_VS_CPG_24H_BMDC_UP,6,6/590,203/17849,0.7951401035282039,69387/68936/16162/72054/17196/68137,Dnajb13/Smim11/Il12rb2/Cyp4f18/Mbp/Kdelr1,ENSMUSG00000030708/ENSMUSG00000051989/ENSMUSG00000018341/ENSMUSG00000003484/ENSMUSG00000041607/ENSMUSG00000002778,C7
GSE17721_CTRL_VS_LPS_0.5H_BMDC_DN,6,6/590,203/17849,0.7951401035282039,268297/19267/17196/66177/67248/69833,Scml4/Ptpre/Mbp/Ubl5/Rpl39/Polr2f,ENSMUSG00000044770/ENSMUSG00000041836/ENSMUSG00000041607/ENSMUSG00000084786/ENSMUSG00000079641/ENSMUSG00000033020,C7
GSE17721_CTRL_VS_PAM3CSK4_2H_BMDC_DN,6,6/590,203/17849,0.7951401035282039,29806/19262/15566/15519/70012/19359,Limd1/Ptpra/Htr7/Hsp90aa1/Cep85/Rad23b,ENSMUSG00000025239/ENSMUSG00000027303/ENSMUSG00000024798/ENSMUSG00000021270/ENSMUSG00000037443/ENSMUSG00000028426,C7
GSE19825_NAIVE_VS_IL2RALOW_DAY3_EFF_CD8_TCELL_UP,6,6/590,203/17849,0.7951401035282039,13038/20430/79362/19207/76846/100038947,Ctsk/Cyfip1/Bhlhe41/Ptch2/Rps9/Sirpb1c,ENSMUSG00000028111/ENSMUSG00000030447/ENSMUSG00000030256/ENSMUSG00000028681/ENSMUSG00000006333/ENSMUSG00000074677,C7
GSE26890_CXCR1_NEG_VS_POS_EFFECTOR_CD8_TCELL_UP,6,6/590,203/17849,0.7951401035282039,20846/68732/235567/15040/434341/99334,Stat1/Carmil1/Dnajc13/H2-T23/Nlrc5/Zscan29,ENSMUSG00000026104/ENSMUSG00000021338/ENSMUSG00000032560/ENSMUSG00000067212/ENSMUSG00000074151/ENSMUSG00000050619,C7
GSE2770_UNTREATED_VS_TGFB_AND_IL12_TREATED_ACT_CD4_TCELL_6H_DN,6,6/590,203/17849,0.7951401035282039,17152/121022/16000/68732/140630/19087,Mak/Mrps6/Igf1/Carmil1/Ube4a/Prkar2a,ENSMUSG00000021363/ENSMUSG00000039680/ENSMUSG00000020053/ENSMUSG00000021338/ENSMUSG00000059890/ENSMUSG00000032601,C7
GSE29949_MICROGLIA_BRAIN_VS_CD8_NEG_DC_SPLEEN_DN,6,6/590,203/17849,0.7951401035282039,240753/71729/17748/54132/23886/19303,Plekha6/Rgs12/Mt1/Pdlim1/Gdf15/Pxn,ENSMUSG00000041757/ENSMUSG00000029101/ENSMUSG00000031765/ENSMUSG00000055044/ENSMUSG00000038508/ENSMUSG00000029528,C7
GSE30083_SP1_VS_SP4_THYMOCYTE_UP,6,6/590,203/17849,0.7951401035282039,14733/114128/30963/22032/72621/213027,Gpc1/Laptm4b/Hacd1/Traf4/Pdzd11/Evi5l,ENSMUSG00000034220/ENSMUSG00000022257/ENSMUSG00000063275/ENSMUSG00000017386/ENSMUSG00000015668/ENSMUSG00000011832,C7
GSE3691_IFN_PRODUCING_KILLER_DC_VS_PLASMACYTOID_DC_SPLEEN_DN,6,6/590,203/17849,0.7951401035282039,68936/104718/17215/54132/230233/15519,Smim11/Ttc7b/Mcm3/Pdlim1/Elp1/Hsp90aa1,ENSMUSG00000051989/ENSMUSG00000033530/ENSMUSG00000041859/ENSMUSG00000055044/ENSMUSG00000028431/ENSMUSG00000021270,C7
GSE3982_DC_VS_CENT_MEMORY_CD4_TCELL_DN,6,6/590,203/17849,0.7951401035282039,15018/171212/223650/67248/57294/19941,H2-Q7/Galnt10/Eppk1/Rpl39/Rps27/Rpl26,ENSMUSG00000060550/ENSMUSG00000020520/ENSMUSG00000115388/ENSMUSG00000079641/ENSMUSG00000090733/ENSMUSG00000060938,C7
GSE41978_WT_VS_BIM_KO_KLRG1_LOW_EFFECTOR_CD8_TCELL_UP,6,6/590,203/17849,0.7951401035282039,64095/11303/30963/52463/229473/14276,Gpr35/Abca1/Hacd1/Tet1/Tmem131l/Folr2,ENSMUSG00000026271/ENSMUSG00000015243/ENSMUSG00000063275/ENSMUSG00000047146/ENSMUSG00000033767/ENSMUSG00000032725,C7
GSE42021_TCONV_PLN_VS_CD24LO_TCONV_THYMUS_UP,6,6/590,203/17849,0.7951401035282039,210992/20430/17979/235567/100855/20926,Lpcat1/Cyfip1/Ncoa3/Dnajc13/Tbc1d14/Supt6,ENSMUSG00000021608/ENSMUSG00000030447/ENSMUSG00000027678/ENSMUSG00000032560/ENSMUSG00000029192/ENSMUSG00000002052,C7
GSE43863_TFH_VS_LY6C_INT_CXCR5POS_EFFECTOR_CD4_TCELL_DN,6,6/590,203/17849,0.7951401035282039,246049/15018/217721/64292/20947/20969,Slc36a2/H2-Q7/Flvcr2/Ptges/Swap70/Sdc1,ENSMUSG00000020264/ENSMUSG00000060550/ENSMUSG00000034258/ENSMUSG00000050737/ENSMUSG00000031015/ENSMUSG00000020592,C7
GSE8621_LPS_STIM_VS_LPS_PRIMED_AND_LPS_STIM_MACROPHAGE_UP,6,6/590,203/17849,0.7951401035282039,20910/246049/50934/225845/75687/69186,Stxbp1/Slc36a2/Slc7a8/Plaat3/Ripor1/Tmem256,ENSMUSG00000026797/ENSMUSG00000020264/ENSMUSG00000022180/ENSMUSG00000060675/ENSMUSG00000038604/ENSMUSG00000070394,C7
GSE12003_MIR223_KO_VS_WT_BM_PROGENITOR_4D_CULTURE_DN,6,6/590,204/17849,0.7998580540408718,380712/66664/72333/13823/18378/28126,Tlcd2/Tmem41a/Palld/Epb41l3/Omp/Nop16,ENSMUSG00000038217/ENSMUSG00000022856/ENSMUSG00000058056/ENSMUSG00000024044/ENSMUSG00000074006/ENSMUSG00000025869,C7
GSE17721_PAM3CSK4_VS_CPG_12H_BMDC_DN,6,6/590,204/17849,0.7998580540408718,11658/228775/12010/18518/69550/338467,Alcam/Trib3/B2m/Igbp1/Bst2/Morc3,ENSMUSG00000022636/ENSMUSG00000032715/ENSMUSG00000060802/ENSMUSG00000031221/ENSMUSG00000046718/ENSMUSG00000039456,C7
GSE25085_FETAL_LIVER_VS_ADULT_BM_SP4_THYMIC_IMPLANT_DN,6,6/590,204/17849,0.7998580540408718,246049/68910/72054/67333/50783/68479,Slc36a2/Zfp467/Cyp4f18/Stk35/Lsm4/Phf5a,ENSMUSG00000020264/ENSMUSG00000068551/ENSMUSG00000003484/ENSMUSG00000037885/ENSMUSG00000031848/ENSMUSG00000061360,C7
GSE5589_WT_VS_IL10_KO_LPS_AND_IL6_STIM_MACROPHAGE_45MIN_UP,6,6/590,204/17849,0.7998580540408718,246049/244668/98970/53902/14155/208795,Slc36a2/Sipa1l2/Fibcd1/Rcan3/Fem1b/Tmem63a,ENSMUSG00000020264/ENSMUSG00000001995/ENSMUSG00000026841/ENSMUSG00000059713/ENSMUSG00000032244/ENSMUSG00000026519,C7
GSE2770_UNTREATED_VS_TGFB_AND_IL4_TREATED_ACT_CD4_TCELL_4H_DN,5,5/590,171/17849,0.8001062764438974,12978/80280/99371/99100/319930,Csf1r/Cdk5rap3/Arfgef2/Cep152/Ceacam19,ENSMUSG00000024621/ENSMUSG00000018669/ENSMUSG00000074582/ENSMUSG00000068394/ENSMUSG00000049848,C7
GSE11961_MARGINAL_ZONE_BCELL_VS_GERMINAL_CENTER_BCELL_DAY40_DN,6,6/590,205/17849,0.8041242205114446,217944/217827/64095/15531/14583/70012,Rapgef5/Nrde2/Gpr35/Ndst1/Gfpt1/Cep85,ENSMUSG00000041992/ENSMUSG00000021179/ENSMUSG00000026271/ENSMUSG00000054008/ENSMUSG00000029992/ENSMUSG00000037443,C7
GSE12198_LOW_IL2_STIM_NK_CELL_VS_HIGH_IL2_STIM_NK_CELL_UP,6,6/590,205/17849,0.8041242205114446,52123/15018/26407/16897/19177/15040,Agpat5/H2-Q7/Map3k4/Llgl1/Psmb7/H2-T23,ENSMUSG00000031467/ENSMUSG00000060550/ENSMUSG00000014426/ENSMUSG00000020536/ENSMUSG00000026750/ENSMUSG00000067212,C7
GSE24972_WT_VS_IRF8_KO_MARGINAL_ZONE_SPLEEN_BCELL_DN,6,6/590,205/17849,0.8041242205114446,24108/17381/67510/12010/212898/67974,Ubd/Mmp12/Tvp23b/B2m/Dse/Ccny,ENSMUSG00000035186/ENSMUSG00000049723/ENSMUSG00000014177/ENSMUSG00000060802/ENSMUSG00000039497/ENSMUSG00000024286,C7
GSE34156_TLR1_TLR2_LIGAND_VS_NOD2_AND_TLR1_TLR2_LIGAND_6H_TREATED_MONOCYTE_UP,6,6/590,205/17849,0.8041242205114446,17381/54132/234577/78783/215690/17966,Mmp12/Pdlim1/Cpne2/Brpf1/Nav1/Nbr1,ENSMUSG00000049723/ENSMUSG00000055044/ENSMUSG00000034361/ENSMUSG00000001632/ENSMUSG00000009418/ENSMUSG00000017119,C7
GSE37301_MULTIPOTENT_PROGENITOR_VS_COMMON_LYMPHOID_PROGENITOR_DN,6,6/590,205/17849,0.8041242205114446,16570/13548/67299/19364/11911/229877,Kif3c/Dyrk1a/Dock7/Rad51d/Atf4/Rap1gds1,ENSMUSG00000020668/ENSMUSG00000022897/ENSMUSG00000028556/ENSMUSG00000018841/ENSMUSG00000042406/ENSMUSG00000028149,C7
